id,genres
100Tm6z29RfHTdUQ6NIs0s,cantautora mexicana;latin pop;rock en espanol;latin rock;latin alternative
0CgpCtEPvyDizcg2p47VrU,reggae uruguayo;rock uruguayo;rock en espanol;latin alternative
3oNnzH6hmqIGIhJ1NcHlrh,urbano latino;pop argentino
673exMTKtkaNosGrNAikth,plena uruguaya
39Pc4a04VgCtcc7m0XKi9M,reggaeton;urbano latino;trap latino
0mJRX0WnqWlu8Boe7gpQ1P,gaming dubstep;pop argentino
6MuJUSYCqA4FpMogUHzb2R,reggae uruguayo;rock uruguayo;rock en espanol;latin alternative
2AFC9ad4nGauS1cgm7FCqU,trap argentino;latin pop;puerto rican pop;trap triste
4e1aewX6ATPcdfQIqr7gqO,k-pop girl group;5th gen k-pop
5S8VwnB4sLi6W0lYTWYylu,west coast rap;westcoast flow;conscious hip hop;rap;hip hop
2QxekHjOYDnzNO5w8hu2D9,chicago rap;rap;melodic rap
5QMrH5nszZZR3nefIj6Mar,pop soul;pop
6jbYpRPTEFl1HFKHk1IC0m,uk pop;rap;hip hop
2pXpURmn6zC5ZYDMms6fwa,vocal harmony group;adult standards;easy listening;man's orchestra;deep adult standards
7221xIgOnuakPdLqT0F3nP,pop;contemporary country;rap;melodic rap;dfw rap
4K1Pg0FLno1ltzX3jeqT83,cali rap;west coast rap;trap;westcoast flow;conscious hip hop;rap;melodic rap;hip hop
5humEOJehpAwMJEJmb0JJ2,soul;adult standards;swing;lounge;easy listening;vocal jazz
7fUYUcWy853HS8YJn0b3Sr,rock-and-roll;motown;classic girl group;brill building pop
0mflMxspEfB0VbI1kyLiAv,singer-songwriter pop;pov: indie
7eGuPhpdS8sBjPJNuAShUX,pop;pop soul
3siwsiaEoU4Kuuc9WKMUy5,bedroom pop;la indie
4xdBrk0nFZaP54vvZj0yx7,indie pop
2Uts1QFB4u2YNIMiqcb4de,cali rap;west coast rap;conscious hip hop;rap;hip hop
4so0Wek9Ig1p6CRCHuINwW,adult standards;swing;lounge;easy listening;light music
4MQmxIxM5CXKjdq4IrCWhd,ukrainian post-punk
6zECxDYlNtEybq8hZ9Tp12,
61BaxM1NIcadLu3gtWm2uT,ukrainian post-punk;ukrainian viral pop
0wpkj8A7T1CjIul0XQtkqK,ukrainian post-punk
3nNKws5aNnTa3tgQOIS5Sk,
1ZbtwhtxORZcaSh5VKjeXJ,ukrainian pop
2ZwNgWo1U0PLbzFCYMNPTW,ukrainian viral pop
41hRWgoaw67f4VGMbNSfoZ,ukrainian pop;ukrainian viral pop
3IuQWB6BsGFc55IOCOGzBK,ukrainian post-punk
23cpg22rXsND2u3ElYxQdj,ukrainian pop;ukrainian viral pop
2k1bI9pRGnUQZWhr3NmJBx,ukrainian pop
11gTRcdz4wK32fghA2vrX7,russian hip hop
7Bz3CO5CyU4GAPke4UNPhc,ukrainian pop;ukrainian indie;ukrainian rock;classic russian rock
6bCLkzoE3agC7Ws9NxVxIn,russian hip hop;russian gangster rap
2qGURS7y8zM7STkxOLgnWO,ukrainian post-punk
2GxrNKugF82CnoRFbQfzPf,
