id,genres
0ZPjVmof45INEERgYfadtv,k-pop;k-pop boy group
4aozcUwwPK4A8cfRti0mhI,romanian trap;romanian pop
1dXz3W52yl5aRqW2nbc2kk,polish indie;polish pop
7vAIFnO5Na6SjXow8z6rSx,polish hip hop;polish trap
4POfce5YCaTN2HGoWZdPyg,polish indie;polish pop
0SsOMCjOCpit4EfFpwjcFW,bedroom r&b
6tgcr0z6mmLJL4qeRF6oen,rome indie;italian pop;italian adult pop
33zWUivvsRkfnOYx4FUmPt,hungarian pop
6wpj0XOOx9rJkoNYCv2d7i,greek trap;greek hip hop
5tFxDBCS5t0af9v9HiysLr,r&b francais;french hip hop;pop urbaine;rap francais
7l0PQwiw5MZJhBSt7zMLwv,bulgarian pop;chalga
6FSOibqLCbhFrmGdqMbwiZ,singaporean pop;singaporean mandopop;mandopop;taiwan singer-songwriter;singaporean singer-songwriter
7jzOZuWgZ5gaMet9V5Ix1d,k-pop
5gUaqAYNgO2yclwM5seMFm,turkish rock
180AbZduI6bYQIzwCHRwu9,gen z singer-songwriter;indie pop;bubblegrunge;pov: indie;bedroom pop
1Rl4O8fqcMTBN8o2rilFBL,
0LqMjug9C2LLSxsLfco0tg,swedish jazz;swedish soul;swedish electropop
5d2lkJfRpza95F0c1ZhTfX,polish hip hop
5op6kdhlMQ4L0KH30GCZ5T,rock;album rock;british invasion;classic rock
0eFMbKCRw8KByXyWBw8WO7,k-pop
2piySGAWgVwsRKm60SfOmF,j-acoustic;j-pop
3YZQseFqB5LVy9VcfVv7dp,indonesian pop rock
2q7sfsG3qyoMvfQzKdhC3K,
4izmyQcssvHEpC8cCFqQam,french hip hop;pop urbaine;rap francais
5asyOj4gG21a2pKzqBIMOk,cubaton
7gLAsZ9ZLXPzwhXefnvKcg,
3anybyqWui9HOrXTXTm0XB,belgian pop
6FfM6gKz4Qt5B8ou1AE89Q,south african trap;south african hip hop
0RxRpGX5IzabQpjn6zGFTB,south african trap;south african hip hop
3Dp93YmW29wCN1QRNxDujP,south african pop;amapiano;south african pop dance;afro soul
2kjH4Q6WxvlpGnlgwmv4eG,modern rock;pop punk;socal pop punk;rock;punk;alternative metal
6GdhBJBl51BAITWjFyhbtl,scenecore;sigilkore;krushclub
1ZR0d3zqDLaTEPD4nW4gGK,slovak trap;slovak hip hop;czsk hip hop
77DrYoEEBwIF1WiuwrTlzG,slovak trap;slovak hip hop;czsk hip hop
5hdHTyA75Dz5OyV4Xeel3V,slovak trap;slovak hip hop;czsk hip hop
4CzSEr6SjL2cRnWEPmG0QK,swedish pop rap;swedish hip hop;gothenburg hip hop
7qJez6y4GfrEoLVnHjBr0J,classic swedish pop;dansband
6xYeTISkTw4S9K9hJgr1KJ,classic swedish pop;dansband
68U6uwfsa0W9dZKZYo1uL6,manele
59RuYP6jN7K4uxDoCNlqlL,polish indie;polish pop
5z6xis1rcEjjs7MuM4eL1x,
7fZlCmEKhOsG9klW3e2qEn,russelater;norwegian pop rap
0bL5tco8cV95q5FNFzxzUS,rock;album rock;british invasion;classic rock
5C6p9XU3B36GPyfzcNBP6R,rock;album rock;british invasion;classic rock
32rT4NEzA9SH57FdFBkajG,rock;album rock;british invasion;classic rock
